Surname of First Author,Title,DOI,Year of Publication,Year of Sample Collection,corrected year of sample collection,state,location,Geopolitical Zone(s),Study Design,Study Duration,Sample Size,Population Type,Mean Age,Total Numbers of Individuals Tested,Total P. falciparum positive samples (PCR),PCR Type for Gene Detection ,Control Genes Used ,Total samples tested for delections,Number of pfhrp2 deletions found,Number of pfhrp3 deletions found,Number of DUAL (pfhrp2 + pfhrp3) deletions,Number of HRP2-RDT False Negatives,JBI Scoring,prevalence hrp2 deletion,prevalence hrp3 deletion,prevalence hrp2 & hrp3 deletion
Funwei,Molecular surveillance of pfhrp2 and pfhrp3 genes deletions in Plasmodium falciparum isolates and the implications for malaria rapid diagnostic tests in Nigeria,https://doi.org/10.1016/j.actatropica.2019.05.016,2019,2013-2014,2013,Ibadan,"Idi-Ayunre and St. Mary Catholic Hospital, Eleta",South-West,Prospective cohort,,511,Children (<12);Symptomatic patients,26.4 months,511,340,Nested PCR,msp1;msp2;glurp,66,11,4,4,31,7,0.166666667,0.060606061,0.060606061
Ikegbunam,Evaluating Malaria Rapid Diagnostic Tests and Microscopy for Detecting Plasmodium Infection and Status of Plasmodium falciparum Histidine-Rich Protein 2/3 Gene Deletions in Southeastern Nigeria,10.4269/ajtmh.23-0690,2024,2019-2020,2019,Anambra,"Nnamdi Azikiwe University Teaching Hospital, Nnewi",South-East,Cross-sectional,12 months,207,Symptomatic patients;General population,7years for Children and 37.5years for Adults,207,165,qPCR,pfcytb,165,1,0,0,6,7,0.006060606,0,0
Krueger,Low Prevalence of Plasmodium falciparum Histidine-Rich Protein 2 and 3 Gene Deletions—A Multiregional Study in Central and West Africa,https://doi.org/10.3390/pathogens12030455,2023,2018-2019,2018,Anambra,"Semi-urban areas of Awka, Nnewi, and Onitsha in Anambra State",South-East,Cross-sectional,2018-2019,466,Symptomatic patients;Asymptomatic,,466,379,qPCR,pfbtub,316,6,6,5,,7,0.018987342,0.018987342,0.015822785
Prosser,"Plasmodium falciparum Histidine-Rich Protein 2 and 3 Gene Deletions in Strains from Nigeria, Sudan, and South Sudan",https://doi.org/10.3201/eid2702.191410,2021,2011-2015,2013,Nigeria,Imported cases to Australia,National,Surveillance,2011-2015,30,Symptomatic patients;General population,42,30,30,Conventional PCR,msp1;msp2;glurp,30,4,0,0,,7,0.133333333,0,0
